User Id,First Name,Middle Name,Last Name,Email Id
master,shishir,shishir,shishir,shishirmax@gmail.com
ftfss,Bob,the,Builder,bob@ebay.com
raju,raju,kumar,singh,raju@yahoo.com
smax,John,K,Max,john@ebay.com
aka,akash,aa,aka,akash@yahoo.com
test,John,,Doe,john@amazon.com
wajhm,cyber,law,expert,wajhamadmin@cyber.com
mitalis,mitali,,srivastava,mitali@gmail.com
mohan,Mohan,Kumar,Singh,mohans@gmail.com
hradmin,Ankit,Kumar,Sharma,ankithr@gmail.com
ftms,Faizal,,Khan,faizalfms@fms.com
jdeere,John,,Deere,johnd@yahoo.co.uk
bing,windows,,bing,windows@windows.com
brandy,Brayan,John,Adams,brayan@live.uk
asim,Asim,,Khan,asim@yahoo.au
bannes,Banner,T,Turner,banes@yahoo.com
bakshi,Byomkesh,Das,Bakshi,byomkesh@gmail.com
abes,Adam,,Abes,adama@yahoo.au
smithk,kelvin,J,Smith,kelvin@hotmail.com
amaze,Amazon,,Services,admin@amazon.in
test,test,test,test,test@test.com
d,asda,,dasdsa,aa@aa.com
contata,aaa,,aa,aa@aa.com
anand,Anand,,Kumar,anandk@contata.co.in
